case,method,view,cell_count,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
disk_like,Direct Polar,disk,149,0.2094666379068562,2.8271912552655114e-16,0.002623104960897524,0
disk_like,Harmonic,disk,149,0.21535763902225066,0.0,1.5549551903960315e-15,0
disk_like,Area-balanced,disk,149,0.029236106670946935,0.0,1.2722360648694803e-15,0
disk_like,Regular Topology,disk,149,0.41709760727545997,6.682602960360571e-05,0.0001528192987172404,5
disk_like,GeoDisk,disk,149,0.3259832914203655,0.0,4.509370052148491e-14,0
disk_like,Direct Polar,annulus,149,2.3086498143824077,1.8367926554479685e-16,0.003408400416965537,0
disk_like,Harmonic,annulus,149,0.25477194075387327,0.025176938055772653,7.347170621791874e-16,0
disk_like,Area-balanced,annulus,149,0.3069678155238178,5.510377966343905e-16,9.183963277239842e-16,0
disk_like,Regular Topology,annulus,149,0.7196663520770313,0.0001300759205984767,0.00027150985616795627,5
disk_like,GeoAnnulus,annulus,149,0.501913196190121,0.0,3.907468160657969e-08,0
elongated,Direct Polar,disk,203,1.249699407424416,0.0,0.005133906871662195,0
elongated,Harmonic,disk,203,1.3459720069057104,0.0,2.120393441449134e-15,0
elongated,Area-balanced,disk,203,1.1059386770404303,0.0,0.0,0
elongated,Regular Topology,disk,203,1.4054094190131532,0.0006299726074071489,0.0010597940042996216,11
elongated,GeoDisk,disk,203,1.3069277124167133,0.0,8.495709722072863e-14,0
elongated,Direct Polar,annulus,203,3.062974128877376,0.0,0.0066708769122420615,0
elongated,Harmonic,annulus,203,1.2810999370550529,0.0489523830482847,1.8367926554479685e-16,0
elongated,Area-balanced,annulus,203,1.247738621605156,1.8367926554479685e-16,0.0,0
elongated,Regular Topology,annulus,203,1.5384051650479897,0.0010922242090344995,0.0016199493691715946,11
elongated,GeoAnnulus,annulus,203,1.3819966441405773,0.0,4.759659556371297e-08,0
l_shape,Direct Polar,disk,145,1.5144330393405534,1.4135956276327557e-16,0.03189344615705064,0
l_shape,Harmonic,disk,145,1.686992173207205,0.002844966337073393,2.5444721297389605e-15,0
l_shape,Area-balanced,disk,145,1.0857303857110303,1.4135956276327558e-15,3.5339890690818896e-15,0
